Time (seconds),Speed (km/h)
306,"70,5"
307,"68,6"
308,"66,8"
309,"64,9"
310,62
311,"59,5"
312,"56,6"
313,"54,4"
314,"52,3"
315,"50,7"
316,"49,2"
317,"49,1"
318,"48,3"
319,"46,7"
320,"44,3"
321,"39,9"
322,"34,6"
323,"32,3"
324,"30,7"
325,"29,8"
326,"27,4"
327,"24,9"
328,"20,1"
329,"17,4"
330,"12,9"
331,"7,6"
332,"2,3"
333,0
334,0
335,0
336,0
337,0
338,0
339,0
340,0
341,0
342,0
343,0
344,0
345,0
346,0
347,"1,6"
348,"6,9"
349,"12,2"
350,"17,5"
351,"22,9"
352,"27,8"
353,"32,2"
354,"36,2"
355,"38,1"
356,"40,6"
357,"42,8"
358,"45,2"
359,"48,3"
360,"49,6"
361,"50,9"
362,"51,7"
363,"52,8"
364,"54,1"
365,"55,5"
366,"55,7"
367,"56,2"
368,56
369,"55,5"
370,"55,8"
371,"57,1"
372,"57,9"
373,"57,9"
374,"57,9"
375,"57,9"
376,"57,9"
377,"57,9"
378,"58,1"
379,"58,6"
380,"58,7"
381,"58,6"
382,"57,9"
383,"56,5"
384,"54,9"
385,"53,9"
386,"50,5"
387,"46,7"
388,"41,4"
389,37
390,"32,7"
391,"28,2"
392,"23,3"
393,"19,3"
394,14
395,"8,7"
396,"3,4"
397,0
398,0
399,0
400,0
401,0
402,0
403,"4,2"
404,"9,5"
405,"14,8"
406,"20,1"
407,"25,4"
408,"30,7"
409,36
410,"40,2"
411,"41,2"
412,"44,3"
413,"46,7"
414,"48,3"
415,"48,4"
416,"48,3"
417,"47,8"
418,"47,2"
419,"46,3"
420,"45,1"
421,"40,2"
422,"34,9"
423,"29,6"
424,"24,3"
425,19
426,"13,7"
427,"8,4"
428,"3,1"
429,0
430,0
431,0
432,0
433,0
434,0
435,0
436,0
437,0
438,0
439,0
440,0
441,0
442,0
443,0
444,0
445,0
446,0
447,0
448,"5,3"
449,"10,6"
450,"15,9"
451,"21,2"
452,"26,6"
453,"31,9"
454,"37,2"
455,"42,5"
456,"44,7"
457,"46,8"
458,"50,7"
459,"53,1"
460,"54,1"
461,56
462,"56,5"
463,"57,3"
464,"58,1"
465,"57,9"
466,"58,1"
467,"58,3"
468,"57,9"
469,"57,5"
470,"57,9"
471,"57,9"
472,"57,3"
473,"57,1"
474,57
475,"56,6"
476,"56,6"
477,"56,6"
478,"56,6"
479,"56,6"
480,"56,6"
481,"56,3"
482,"56,5"
483,"56,6"
484,"57,1"
485,"56,6"
486,"56,3"
487,"56,3"
488,"56,3"
489,56
490,"55,7"
491,"55,5"
492,"53,9"
493,"51,5"
494,"48,4"
495,"45,1"
496,41
497,"36,2"
498,"31,9"
499,"26,6"
500,"21,2"
501,"16,6"
502,"11,6"
503,"6,4"
504,"1,6"
505,0
506,0
507,0
508,0
509,0
510,0
511,"1,9"
512,"5,6"
513,"8,9"
514,"10,5"
515,"13,7"
516,"15,4"
517,"16,9"
518,"19,2"
519,"22,5"
520,"25,7"
521,"28,5"
522,"30,6"
523,"32,3"
524,"33,8"
525,"35,4"
526,37
527,"38,3"
528,"39,4"
529,"40,1"
530,"40,2"
531,"40,2"
532,"40,2"
533,"40,2"
534,"40,2"
535,"40,2"
536,"41,2"
537,"41,5"
538,"41,8"
539,"41,2"
540,"40,6"
541,"40,2"
542,"40,2"
543,"40,2"
544,"39,3"
545,"37,2"
546,"31,9"
547,"26,6"
548,"21,2"
549,"15,9"
550,"10,6"
551,"5,3"
552,0
553,0
554,0
555,0
556,0
557,0
558,0
559,0
560,0
561,0
562,0
563,0
564,0
565,0
566,0
567,0
568,0
569,"5,3"
570,"10,6"
571,"15,9"
572,"20,9"
573,"23,5"
574,"25,7"
575,"27,4"
576,"27,4"
577,"27,4"
578,"28,2"
579,"28,5"
580,"28,5"
581,"28,2"
582,"27,4"
583,"27,2"
584,"26,7"
585,"27,4"
586,"27,5"
587,"27,4"
588,"26,7"
589,"26,6"
590,"26,6"
591,"26,7"
592,"27,4"
593,"28,3"
594,"29,8"
595,"30,9"
596,"32,5"
597,"33,8"
598,34
599,"34,1"
600,"34,8"
601,"35,4"
602,36
603,"36,2"
604,"36,2"
605,"36,2"
606,"36,5"
607,"38,1"
608,"40,4"
609,"41,8"
610,"42,6"
611,"43,5"
612,42
613,"36,7"
614,"31,4"
615,"26,1"
616,"20,8"
617,"15,4"
618,"10,1"
619,"4,8"
620,0
621,0
622,0
623,0
624,0
625,0
626,0
627,0
628,0
629,0
630,0
631,0
632,0
633,0
634,0
635,0
636,0
637,0
638,0
639,0
640,0
641,0
642,0
643,0
644,0
645,0
646,"3,2"
647,"7,2"
648,"12,6"
649,"16,4"
650,"20,1"
651,"22,5"
652,"24,6"
653,"28,2"
654,"31,5"
655,"33,8"
656,"35,7"
657,"37,5"
658,"39,4"
659,"40,7"
660,"41,2"
661,"41,8"
662,42
663,"42,2"
664,"42,2"
665,"42,5"
666,"42,6"
667,"42,6"
668,"41,8"
669,41
670,38
671,"34,4"
672,"29,8"
673,"26,4"
674,"23,3"
675,"18,7"
676,14
677,"9,3"
678,"5,6"
679,"3,2"
680,0
681,0
682,0
683,0
684,0
685,0
686,0
687,0
688,0
689,0
690,0
691,0
692,0
693,0
694,"2,3"
695,"5,3"
696,"7,1"
697,"10,5"
698,"14,8"
699,"18,2"
700,"21,7"
701,"23,5"
702,"26,4"
703,"26,9"
704,"26,6"
705,"26,6"
706,"29,3"
707,"30,9"
708,"32,3"
709,"34,6"
710,"36,2"
711,"36,2"
712,"35,6"
713,"36,5"
714,"37,5"
715,"37,8"
716,"36,2"
717,"34,8"
718,33
719,29
720,"24,1"
721,"19,3"
722,"14,5"
723,10
724,"7,2"
725,"4,8"
726,"3,4"
727,"0,8"
728,"0,8"
729,"5,1"
730,"10,5"
731,"15,4"
732,"20,1"
733,"22,5"
734,"25,7"
735,29
736,"31,5"
737,"34,6"
738,"37,2"
739,"39,4"
740,41
741,"42,6"
742,"43,6"
743,"44,4"
744,"44,9"
745,"45,5"
746,46
747,46
748,"45,5"
749,"45,4"
750,"45,1"
751,"44,3"
752,"43,1"
753,41
754,"37,8"
755,"34,6"
756,"30,6"
757,"26,6"
758,24
759,"20,1"
760,"15,1"
761,10
762,"4,8"
763,"2,4"
764,"2,4"
765,"0,8"
766,0
767,"4,8"
768,"10,1"
769,"15,4"
770,"20,8"
771,"25,4"
772,"28,2"
773,"29,6"
774,"31,4"
775,"33,3"
776,"35,4"
777,"37,3"
778,"40,2"
779,"42,6"
780,"44,3"
781,"45,1"
782,"45,5"
783,"46,5"
784,"46,5"
785,"46,5"
786,"46,3"
787,"45,9"
788,"45,5"
789,"45,5"
790,"45,5"
791,"45,4"
792,"44,4"
793,"44,3"
794,"44,3"
795,"44,3"
796,"44,3"
797,"44,3"
798,"44,3"
799,"44,4"
800,"45,1"
801,"45,9"
802,"48,3"
803,"49,9"
804,"51,5"
805,"53,1"
806,"53,1"
807,"54,1"
808,"54,7"
809,"55,2"
810,55
811,"54,7"
812,"54,7"
813,"54,6"
814,"54,1"
815,"53,3"
816,"53,1"
817,"52,3"
818,"51,5"
819,"51,3"
820,"50,9"
821,"50,7"
822,"49,2"
823,"48,3"
824,"48,1"
825,"48,1"
826,"48,1"
827,"48,1"
828,"47,6"
829,"47,5"
830,"47,5"
831,"47,2"
832,"46,5"
833,"45,4"
834,"44,6"
835,"43,5"
836,41
837,"38,1"
838,"35,4"
839,33
840,"30,9"
841,"30,9"
842,"32,3"
843,"33,6"
844,"34,4"
845,"35,4"
846,"36,4"
847,"37,3"
848,"38,6"
849,"40,2"
850,"41,8"
851,"42,8"
852,"42,8"
853,"43,1"
854,"43,5"
855,"43,8"
856,"44,7"
857,"45,2"
858,"46,3"
859,"46,5"
860,"46,7"
861,"46,8"
862,"46,7"
863,"45,2"
864,"44,3"
865,"43,5"
866,"41,5"
867,"40,2"
868,"39,4"
869,"39,9"
870,"40,4"
871,41
872,"41,4"
873,"42,2"
874,"43,3"
875,"44,3"
876,"44,7"
877,"45,7"
878,"46,7"
879,47
880,"46,8"
881,"46,7"
882,"46,5"
883,"45,9"
884,"45,2"
885,"45,1"
886,"45,1"
887,"44,4"
888,"43,8"
889,"42,8"
890,"43,5"
891,"44,3"
892,"44,7"
893,"45,1"
894,"44,7"
895,"45,1"
896,"45,1"
897,"45,1"
898,"44,6"
899,"44,1"
900,"43,3"
901,"42,8"
902,"42,6"
903,"42,6"
904,"42,6"
905,"42,3"
906,"42,2"
907,"42,2"
908,"41,7"
909,"41,2"
910,"41,2"
911,"41,7"
912,"41,5"
913,41
914,"39,6"
915,"37,8"
916,"35,7"
917,"34,8"
918,"34,8"
919,"34,9"
920,"36,4"
921,"37,7"
922,"38,6"
923,"38,9"
924,"39,3"
925,"40,1"
926,"40,4"
927,"40,6"
928,"40,7"
929,41
930,"40,6"
931,"40,2"
932,"40,2"
933,"40,2"
934,"39,7"
935,"39,4"
936,"39,1"
937,"39,1"
938,"39,4"
939,"40,2"
940,"40,2"
941,"39,6"
942,"39,6"
943,"38,8"
944,"39,4"
945,"40,4"
946,"41,2"
947,"40,4"
948,"38,6"
949,"35,4"
950,"32,3"
951,"27,2"
952,"21,9"
953,"16,6"
954,"11,3"
955,6
956,"0,6"
957,0
958,0
959,0
960,"3,2"
961,"8,5"
962,"13,8"
963,"19,2"
964,"24,5"
965,"28,2"
966,"29,9"
967,"32,2"
968,34
969,"35,4"
970,37
971,"39,4"
972,"42,3"
973,"44,3"
974,"45,2"
975,"45,7"
976,"45,9"
977,"45,9"
978,"45,9"
979,"44,6"
980,"44,3"
981,"43,8"
982,"43,1"
983,"42,6"
984,"41,8"
985,"41,4"
986,"40,6"
987,"38,6"
988,"35,4"
989,"34,6"
990,"34,6"
991,"35,1"
992,"36,2"
993,37
994,"36,7"
995,"36,7"
996,37
997,"36,5"
998,"36,5"
999,"36,5"
1000,"37,8"
1001,"38,6"
1002,"39,6"
1003,"39,9"
1004,"40,4"
1005,41
1006,"41,2"
1007,41
1008,"40,2"
1009,"38,8"
1010,"38,1"
1011,"37,3"
1012,"36,9"
1013,"36,2"
1014,"35,4"
1015,"34,8"
1016,33
1017,"28,2"
1018,"22,9"
1019,"17,5"
1020,"12,2"
1021,"6,9"
1022,"1,6"
1023,0
1024,0
1025,0
1026,0
1027,0
1028,0
1029,0
1030,0
1031,0
1032,0
1033,0
1034,0
1035,0
1036,0
1037,0
1038,0
1039,0
1040,0
1041,0
1042,0
1043,0
1044,0
1045,0
1046,0
1047,0
1048,0
1049,0
1050,0
1051,0
1052,0
1053,"1,9"
1054,"6,4"
1055,"11,7"
1056,"17,1"
1057,"22,4"
1058,"27,4"
1059,"29,8"
1060,"32,2"
1061,"35,1"
1062,37
1063,"38,6"
1064,"39,9"
1065,"41,2"
1066,"42,6"
1067,"43,1"
1068,"44,1"
1069,"44,9"
1070,"45,5"
1071,"45,1"
1072,"44,3"
1073,"43,5"
1074,"43,5"
1075,"42,3"
1076,"39,4"
1077,"36,2"
1078,"34,6"
1079,"33,2"
1080,29
1081,"24,1"
1082,"19,8"
1083,"17,9"
1084,"17,1"
1085,"16,1"
1086,"15,3"
1087,"14,6"
1088,14
1089,"13,8"
1090,"14,2"
1091,"14,5"
1092,14
1093,"13,8"
1094,"12,9"
1095,"11,3"
1096,8
1097,"6,8"
1098,"4,2"
1099,"1,6"
1100,0
1101,"0,2"
1102,1
1103,"2,6"
1104,"5,8"
1105,"11,1"
1106,"16,1"
1107,"20,6"
1108,"22,5"
1109,"23,3"
1110,"25,7"
1111,"29,1"
1112,"32,2"
1113,"33,8"
1114,"34,1"
1115,"34,3"
1116,"34,4"
1117,"34,9"
1118,"36,2"
1119,37
1120,"38,3"
1121,"39,4"
1122,"40,2"
1123,"40,1"
1124,"39,9"
1125,"40,2"
1126,"40,9"
1127,"41,5"
1128,"41,8"
1129,"42,5"
1130,"42,8"
1131,"43,3"
1132,"43,5"
1133,"43,5"
1134,"43,5"
1135,"43,3"
1136,"43,1"
1137,"43,1"
1138,"42,6"
1139,"42,5"
1140,"41,8"
1141,41
1142,"39,6"
1143,"37,8"
1144,"34,6"
1145,"32,2"
1146,"28,2"
1147,"25,7"
1148,"22,5"
1149,"17,2"
1150,"11,9"
1151,"6,6"
1152,"1,3"
1153,0
1154,0
1155,0
1156,0
1157,0
1158,0
1159,0
1160,0
1161,0
1162,0
1163,0
1164,0
1165,0
1166,0
1167,0
1168,0
1169,"3,4"
1170,"8,7"
1171,14
1172,"19,3"
1173,"24,6"
1174,"29,9"
1175,34
1176,37
1177,"37,8"
1178,37
1179,"36,2"
1180,"32,2"
1181,"26,9"
1182,"21,6"
1183,"16,3"
1184,"10,9"
1185,"5,6"
1186,"0,3"
1187,0
1188,0
1189,0
1190,0
1191,0
1192,0
1193,0
1194,0
1195,0
1196,0
1197,"0,3"
1198,"2,4"
1199,"5,6"
1200,"10,5"
1201,"15,8"
1202,"19,3"
1203,"20,8"
1204,"20,9"
1205,"20,3"
1206,"20,6"
1207,"21,1"
1208,"21,1"
1209,"22,5"
1210,"24,9"
1211,"27,4"
1212,"29,9"
1213,"31,7"
1214,"33,8"
1215,"34,6"
1216,"35,1"
1217,"35,1"
1218,"34,6"
1219,"34,1"
1220,"34,6"
1221,"35,1"
1222,"35,4"
1223,"35,2"
1224,"34,9"
1225,"34,6"
1226,"34,6"
1227,"34,4"
1228,"32,3"
1229,"31,4"
1230,"30,9"
1231,"31,5"
1232,"31,9"
1233,"32,2"
1234,"31,4"
1235,"28,2"
1236,"24,9"
1237,"20,9"
1238,"16,1"
1239,"12,9"
1240,"9,7"
1241,"6,4"
1242,4
1243,"1,1"
1244,0
1245,0
1246,0
1247,0
1248,0
1249,0
1250,0
1251,0
1252,"1,6"
1253,"1,6"
1254,"1,6"
1255,"1,6"
1256,"1,6"
1257,"2,6"
1258,"4,8"
1259,"6,4"
1260,8
1261,"10,1"
1262,"12,9"
1263,"16,1"
1264,"16,9"
1265,"15,3"
1266,"13,7"
1267,"12,2"
1268,"14,2"
1269,"17,7"
1270,"22,5"
1271,"27,4"
1272,"31,4"
1273,"33,8"
1274,"35,1"
1275,"35,7"
1276,37
1277,38
1278,"38,8"
1279,"39,4"
1280,"39,4"
1281,"38,6"
1282,"37,8"
1283,"37,8"
1284,"37,8"
1285,"37,8"
1286,"37,8"
1287,"37,8"
1288,"38,6"
1289,"38,8"
1290,"39,4"
1291,"39,7"
1292,"40,2"
1293,"40,9"
1294,"41,2"
1295,"41,4"
1296,"41,8"
1297,"42,2"
1298,"43,5"
1299,"44,7"
1300,"45,5"
1301,"46,7"
1302,"46,8"
1303,"46,7"
1304,"45,1"
1305,"39,7"
1306,"34,4"
1307,"29,1"
1308,"23,8"
1309,"18,5"
1310,"13,2"
1311,"7,9"
1312,"2,6"
1313,0
1314,0
1315,0
1316,0
1317,0
1318,0
1319,0
1320,0
1321,0
1322,0
1323,0
1324,0
1325,0
1326,0
1327,0
1328,0
1329,0
1330,0
1331,0
1332,0
1333,0
1334,0
1335,0
1336,0
1337,0
1338,"2,4"
1339,"7,7"
1340,13
1341,"18,3"
1342,"21,2"
1343,"24,3"
1344,27
1345,"29,5"
1346,"31,4"
1347,"32,7"
1348,"34,3"
1349,"35,2"
1350,"35,6"
1351,36
1352,"35,4"
1353,"34,8"
1354,34
1355,33
1356,"32,2"
1357,"31,5"
1358,"29,8"
1359,"28,2"
1360,"26,6"
1361,"24,9"
1362,"22,5"
1363,"17,7"
1364,"12,9"
1365,"8,4"
1366,4
1367,0
1368,0
1369,0
1370,0
1371,0
1372,0
1373,0
1374,0
1375,0
1376,0
1377,0
1378,0
1379,0
1380,0
1381,0
1382,0
1383,0
1384,0
1385,0
1386,0
1387,0
1388,0
1389,0
1390,0
1391,0
1392,0
1393,"4,8"
1394,"9,5"
1395,"13,8"
1396,"18,5"
1397,23
1398,"27,2"
1399,"27,8"
1400,"29,1"
1401,"33,3"
1402,"34,9"
1403,36
1404,"36,2"
1405,"35,6"
1406,"34,6"
1407,"33,6"
1408,"32,8"
1409,"31,9"
1410,"27,4"
1411,24
1412,24
1413,"24,5"
1414,"24,9"
1415,"25,7"
1416,"27,5"
1417,"30,7"
1418,34
1419,"36,5"
1420,"36,9"
1421,"36,5"
1422,"36,4"
1423,"34,3"
1424,"30,6"
1425,"27,5"
1426,"25,4"
1427,"25,4"
1428,"28,5"
1429,"31,9"
1430,"34,8"
1431,"37,3"
1432,"38,9"
1433,"39,6"
1434,"40,1"
1435,"40,2"
1436,"39,6"
1437,"39,4"
1438,"39,7"
1439,"39,9"
1440,"39,7"
1441,"39,6"
1442,"39,6"
1443,"40,4"
1444,"41,2"
1445,"41,4"
1446,"40,9"
1447,"40,1"
1448,"40,2"
1449,"40,9"
1450,"41,8"
1451,"41,8"
1452,"41,4"
1453,42
1454,43
1455,"44,3"
1456,46
1457,"47,2"
1458,48
1459,"48,4"
1460,"48,9"
1461,"49,4"
1462,"49,4"
1463,"49,1"
1464,"48,9"
1465,"48,8"
1466,"48,9"
1467,"49,6"
1468,"48,9"
1469,"48,1"
1470,"47,5"
1471,48
1472,"48,8"
1473,"49,4"
1474,"49,7"
1475,"49,9"
1476,"49,7"
1477,"48,9"
1478,48
1479,"48,1"
1480,"48,6"
1481,"49,4"
1482,"50,2"
1483,"51,2"
1484,"51,8"
1485,"52,1"
1486,"51,8"
1487,51
1488,46
1489,"40,7"
1490,"35,4"
1491,"30,1"
1492,"24,8"
1493,"19,5"
1494,"14,2"
1495,"8,9"
1496,"3,5"
1497,0
1498,0
1499,0
1500,0
1501,0
1502,0
1503,0
1504,0
1505,0
1506,0
1507,0
1508,0
1509,0
1510,0
1511,0
1512,0
1513,0
1514,0
1515,0
1516,0
1517,0
1518,0
1519,0
1520,0
1521,0
1522,0
1523,0
1524,0
1525,0
1526,0
1527,0
1528,0
1529,0
1530,0
1531,0
1532,0
1533,0
1534,0
1535,0
1536,"5,3"
1537,"10,6"
1538,"15,9"
1539,"21,2"
1540,"26,6"
1541,"31,9"
1542,"35,7"
1543,"39,1"
1544,"41,5"
1545,"42,5"
1546,"41,4"
1547,"40,4"
1548,"39,7"
1549,"40,2"
1550,"40,6"
1551,"40,9"
1552,"41,5"
1553,"43,8"
1554,"42,6"
1555,"38,6"
1556,"36,5"
1557,"31,2"
1558,"28,5"
1559,"27,7"
1560,"29,1"
1561,"29,9"
1562,"32,2"
1563,"35,7"
1564,"39,4"
1565,"43,9"
1566,"49,1"
1567,"53,9"
1568,"58,3"
1569,60
1570,"63,2"
1571,"65,2"
1572,"67,8"
1573,70
1574,"72,6"
1575,74
1576,"75,3"
1577,"76,4"
1578,"76,4"
1579,"76,1"
1580,76
1581,"75,6"
1582,"75,6"
1583,"75,6"
1584,"75,6"
1585,"75,6"
1586,76
1587,"76,3"
1588,"77,1"
1589,"78,1"
1590,79
1591,"79,7"
1592,"80,5"
1593,"81,4"
1594,"82,1"
1595,"82,9"
1596,84
1597,"85,6"
1598,"87,1"
1599,"87,9"
1600,"88,4"
1601,"88,5"
1602,"88,4"
1603,"87,9"
1604,"87,9"
1605,"88,2"
1606,"88,7"
1607,"89,3"
1608,"89,6"
1609,"90,3"
1610,"90,6"
1611,"91,1"
1612,"91,2"
1613,"91,2"
1614,"90,9"
1615,"90,9"
1616,"90,9"
1617,"90,9"
1618,"90,9"
1619,"90,9"
1620,"90,8"
1621,"90,3"
1622,"89,8"
1623,"88,7"
1624,"87,9"
1625,"87,2"
1626,"86,9"
1627,"86,4"
1628,"86,3"
1629,"86,7"
1630,"86,9"
1631,"87,1"
1632,"87,1"
1633,"86,6"
1634,"85,9"
1635,"85,3"
1636,"84,6"
1637,"83,8"
1638,"84,3"
1639,"83,7"
1640,"83,5"
1641,"83,2"
1642,"82,9"
1643,83
1644,"83,4"
1645,"83,8"
1646,"84,5"
1647,"85,3"
1648,"86,1"
1649,"86,9"
1650,"88,4"
1651,"89,2"
1652,"89,5"
1653,"90,1"
1654,"90,1"
1655,"89,8"
1656,"88,8"
1657,"87,7"
1658,"86,3"
1659,"84,5"
1660,"82,9"
1661,"82,9"
1662,"82,9"
1663,"82,2"
1664,"80,6"
1665,"80,5"
1666,"80,6"
1667,"80,5"
1668,"79,8"
1669,"79,7"
1670,"79,7"
1671,"79,7"
1672,79
1673,"78,2"
1674,"77,4"
1675,76
1676,"74,2"
1677,"72,4"
1678,"70,5"
1679,"68,6"
1680,"66,8"
1681,"64,9"
1682,62
1683,"59,5"
1684,"56,6"
1685,"54,4"
1686,"52,3"
1687,"50,7"
1688,"49,2"
1689,"49,1"
1690,"48,3"
1691,"46,7"
1692,"44,3"
1693,"39,9"
1694,"34,6"
1695,"32,3"
1696,"30,7"
1697,"29,8"
1698,"27,4"
1699,"24,9"
1700,"20,1"
1701,"17,4"
1702,"12,9"
1703,"7,6"
1704,"2,3"
1705,0
1706,0
1707,0
1708,0
1709,0
1710,0
1711,0
1712,0
1713,0
1714,0
1715,0
1716,0
1717,0
1718,0
1719,"1,6"
1720,"6,9"
1721,"12,2"
1722,"17,5"
1723,"22,9"
1724,"27,8"
1725,"32,2"
1726,"36,2"
1727,"38,1"
1728,"40,6"
1729,"42,8"
1730,"45,2"
1731,"48,3"
1732,"49,6"
1733,"50,9"
1734,"51,7"
1735,"52,8"
1736,"54,1"
1737,"55,5"
1738,"55,7"
1739,"56,2"
1740,56
1741,"55,5"
1742,"55,8"
1743,"57,1"
1744,"57,9"
1745,"57,9"
1746,"57,9"
1747,"57,9"
1748,"57,9"
1749,"57,9"
1750,"58,1"
1751,"58,6"
1752,"58,7"
1753,"58,6"
1754,"57,9"
1755,"56,5"
1756,"54,9"
1757,"53,9"
1758,"50,5"
1759,"46,7"
1760,"41,4"
1761,37
1762,"32,7"
1763,"28,2"
1764,"23,3"
1765,"19,3"
1766,14
1767,"8,7"
1768,"3,4"
1769,0
1770,0
1771,0
1772,0
1773,0
1774,0
1775,"4,2"
1776,"9,5"
1777,"14,8"
1778,"20,1"
1779,"25,4"
1780,"30,7"
1781,36
1782,"40,2"
1783,"41,2"
1784,"44,3"
1785,"46,7"
1786,"48,3"
1787,"48,4"
1788,"48,3"
1789,"47,8"
1790,"47,2"
1791,"46,3"
1792,"45,1"
1793,"40,2"
1794,"34,9"
1795,"29,6"
1796,"24,3"
1797,19
1798,"13,7"
1799,"8,4"
1800,"3,1"
1801,0
1802,0
1803,0
1804,0
1805,0
1806,0
1807,0
1808,0
1809,0
1810,0
1811,0
1812,0
1813,0
1814,0
1815,0
1816,0
1817,0
1818,0
1819,0
1820,"5,3"
1821,"10,6"
1822,"15,9"
1823,"21,2"
1824,"26,6"
1825,"31,9"
1826,"37,2"
1827,"42,5"
1828,"44,7"
1829,"46,8"
1830,"50,7"
1831,"53,1"
1832,"54,1"
1833,56
1834,"56,5"
1835,"57,3"
1836,"58,1"
1837,"57,9"
1838,"58,1"
1839,"58,3"
1840,"57,9"
1841,"57,5"
1842,"57,9"
1843,"57,9"
1844,"57,3"
1845,"57,1"
1846,57
1847,"56,6"
1848,"56,6"
1849,"56,6"
1850,"56,6"
1851,"56,6"
1852,"56,6"
1853,"56,3"
1854,"56,5"
1855,"56,6"
1856,"57,1"
1857,"56,6"
1858,"56,3"
1859,"56,3"
1860,"56,3"
1861,56
1862,"55,7"
1863,"55,5"
1864,"53,9"
1865,"51,5"
1866,"48,4"
1867,"45,1"
1868,41
1869,"36,2"
1870,"31,9"
1871,"26,6"
1872,"21,2"
1873,"16,6"
1874,"11,6"
1875,"6,4"
